,Number_PP,Name,Full_name,Owners_name,Kind,Price,Qty_stock,Remaining_amount
58,73,IDEAL Glory,,Линолеум,Товар,51.4,884.45119,36
59,74,Kompass снят с производства,,Ламинат Aberhof,Товар,95.52,179.17098000000001,8
60,75,Legend 33 снимается,,Ламинат Aberhof,Товар,50.2,156.7831,2
61,76,Look 7мм 32 класс ,,Ламинат IDEAL,Товар,71.27,59.0,17
62,77,Polyflor,,Линолеум,Товар,89.14,491.43767,74
63,100,Polyflor,Polyflor,Polyflor,Товар,72.39,927.67105,53
64,101,Polystyl 2 сорт,,Линолеум,Товар,47.2,474.22372,8
65,102,Polystyl Contract,,Линолеум,Товар,88.76,743.65948,68
66,103,Polystyl METEOR,,Линолеум,Товар,44.71,276.12339,96
67,104,Polystyl Orion,,Линолеум,Товар,91.27,383.34956,41
68,105,Polystyl POLARIS,,Линолеум,Товар,49.89,280.13969,2
69,106,Polystyl SIGMA,,Линолеум,Товар,72.39,578.41841,42
70,107,Polystyl SPACE,,Линолеум,Товар,99.76,793.79109,68
71,110,Polystyl TAIFUN,,Линолеум,Товар,95.73,968.92666,64
72,111,Polystyl TITAN,,Линолеум,Товар,97.24,302.29366,48
73,112,Polystyl TORNADO,,Линолеум,Товар,23.1,315.7248,15
74,113,Polystyl VEGA,,Линолеум,Товар,49.4,181.8941,4
75,114,PRAKTIKA,,Линолеум,Товар,38.74,121.4687,54
76,115,Raspberry 8мм 33кл фаска,,Ламинат IDEAL,Товар,27.63,282.7791,66
77,116,Regatta снят с производства 2016,,Ламинат Aberhof,Товар,72.39,57.4126,23
78,117,RIVIERA снят с производства,,Ламинат Aberhof,Товар,92.24,648.59771,52
79,120,Silver снят с производства,,Ламинат Aberhof,Товар,14.62,830.12134,6
80,121,SM 70  0.8mm D300*15кг,SM 70  0.8mm D300*15кг,Склад Максимова Т.,Товар,48.96,571.27956,16
81,122,SM 70 1.0mm D300*15кг,SM 70 1.0mm D300*15кг,Склад Максимова Т.,Товар,64.43,424.27317999999997,32
82,123,SM 70 1.2mm D300*15кг,SM 70 1.2mm D300*15кг,Склад Максимова Т.,Товар,68.29,624.42612,96
83,124,SM 70 диам. 0.9мм Ball рас 300кг,SM 70 диам. 0.9мм Ball рас 300кг,Склад Максимова Т.,Товар,74.8,223.16519,84
84,125,SM 70 диам. 1.2мм Ball pac 300кг,SM 70 диам. 1.2мм Ball pac 300кг,Склад Максимова Т.,Товар,11.84,681.8063,4
85,126,SM 70S диам. 0.9мм Ball pac 300кг,SM 70S диам. 0.9мм Ball pac 300кг,Склад Максимова Т.,Товар,96.48,451.43512000000004,48
86,127,SM 70S диам. 1.0мм Ball pac 300кг,SM 70S диам. 1.0мм Ball pac 300кг,Склад Максимова Т.,Товар,95.51,554.52912,54
87,130,SM 70S диам. 1.2мм Ball pac 300кг,SM 70S диам. 1.2мм Ball pac 300кг,Склад Максимова Т.,Товар,12.13,155.188,15
88,131,SPC,,Ламинат Кроношпан,Товар,74.51,788.58713,88
89,132,STATUS,,Линолеум,Товар,92.31,978.90279,18
90,133,STIMUL,,Линолеум,Товар,69.97,670.46879,9
91,134,Storm,,Ламинат Aberhof,Товар,60.35,798.48159,3
92,135,Superior,,Ламинат Kronostar,Товар,52.66,103.5423,98
93,136,Symbio,,Ламинат Kronostar,Товар,62.4,27768.0,445
94,137,Synchrotec,,Ламинат Kronostar,Товар,28.15,687.19339,5
95,140,Trend,,Линолеум,Товар,31.4,193.606,2
96,141,Victory,,Ламинат Aberhof,Товар,17.4,28.487,2
97,142,WindRose снят с производства,,Ламинат Aberhof,Товар,56.26,372.20928,72
98,143,Абонементное обслуживание (техническая поддержка),Абонементное обслуживание (техническая поддержка),Услуги,Услуга,26.2,3275.0,125
99,144,Адаптер wifi,Адаптер wifi,Материалы,Материал,30.61,973.2978300000001,53
100,145,Аккумулятор,Аккумулятор,Материалы,Материал,49.39,95.0,5
101,146,Аксессуары ELSI,Аксессуары ELSI,Аксессуары ПВХ для плинтуса,Товар,15.13,217.3283,21
102,147,Аксессуары ПВХ Аберхоф,Аксессуары ПВХ Аберхоф,Аксессуары ПВХ для плинтуса,Товар,24.58,360.8848,8
103,150,Аксессуары ПВХ для плинтуса,,,Товар,32.52,752.24455,4
104,151,Аксессуары ПВХ Таркетт,Аксессуары ПВХ Таркетт,Аксессуары ПВХ для плинтуса,Товар,44.93,377.16938,61
105,152,Альфа,,Коврики влаговпитывающие,Товар,1.87,216.403,92
106,153,Антисептик,Антисептик,Материалы,Материал,35.91,674.24203,34
107,154,Антистеплер,Антистеплер,Материалы,Материал,42.6,48.0,8
108,155,Аренда офиса,Аренда офиса,Услуги,Услуга,27.18,667.18129,6
109,156,Аренда склада,Аренда склада,Услуги,Услуга,53.4,954.5094300000001,6
110,157,Арматура 10 А3,Арматура 10 А3,Строительные товары двери,Товар,4.12,710.2925,2
111,160,Арматура 12 А3,Арматура 12 А3,Строительные товары двери,Товар,73.46,214.1572,44
112,161,Арматура 14 А3,Арматура 14 А3,Строительные товары двери,Товар,57.59,836.48145,24
113,162,Арматура 8 А3,Арматура 8 А3,Строительные товары двери,Товар,74.4,787.58552,8
114,163,АРХИВ  Линолеум Дискавери    ,АРХИВ  Линолеум Дискавери    ,ТАРКЕТ,Товар,29.26,276.8075,76
115,164,Батарея для ИБС,Батарея для ИБС,Материалы,Материал,93.4,183.17092,2
116,165,Белье мужское нательное х/б (с начесом),Белье мужское нательное х/б (с начесом),Материалы,Материал,6.24,315.1965,6
117,166,Бетоконтакт,Бетоконтакт,Строительные товары двери,Товар,8.39,547.4589,33
118,167,Бетон,Бетон,Строительные товары двери,Товар,62.57,866.54185,62
119,170,Блок бумаги для флипчартов белый 65*98 20 лист. Комус 80гр,Блок бумаги для флипчартов белый 65*98 20 лист. Комус 80гр,Материалы,Материал,75.23,544.40925,12
120,171,Блок бумаги для флипчартов клетка 65*98 20 лист. Комус 80гр,Блок бумаги для флипчартов клетка 65*98 20 лист. Комус 80гр,Материалы,Материал,96.38,370.3566,6
121,172,Блок питания,Блок питания,Материалы,Материал,25.41,968.24596,88
122,173,Блок фотобарабана ,Блок фотобарабана ,Материалы,Материал,12.24,307.3757,68
123,174,Блоки питания 600W-780W,Блоки питания 600W-780W,Материалы,Материал,32.46,872.28305,12
124,175,Блок-кубик запасной 9х9х9 белый блок,Блок-кубик запасной 9х9х9 белый блок,Материалы,Материал,67.8,777.5268,6
125,176,Блок-кубик КОМУС запасной 9х9х9 цветной блок,Блок-кубик КОМУС запасной 9х9х9 цветной блок,Материалы,Материал,16.4,382.6127,28
126,177,Блок-кубик КОМУС с клеевкраем Куб 38х51 цветн,Блок-кубик КОМУС с клеевкраем Куб 38х51 цветн,Материалы,Материал,72.25,0.0,0
127,200,Блок-кубик КОМУС с клеевкраем Куб 76х76,Блок-кубик КОМУС с клеевкраем Куб 76х76,Материалы,Материал,96.69,308.2978,52
128,201,Блок-кубик КОМУС с клеевкраем Куб 76х76 цветн,Блок-кубик КОМУС с клеевкраем Куб 76х76 цветн,Материалы,Материал,92.58,843.78044,94
129,202,Блокнот на спирали А4 60л,Блокнот на спирали А4 60л,Линолеум,Материал,69.15,437.30217999999996,55
130,203,БОГАТЫРЬ,,Ламинат Синтерос,Товар,58.84,944.5554400000001,96
131,204,Бокс для бумаги 9х9х9х,Бокс для бумаги 9х9х9х,Материалы,Материал,3.24,64.207,36
132,205,Бортовой камень ,Бортовой камень ,Строительные товары двери,Товар,38.86,363.14106,18
133,206,Брусок 140х160х6000,Брусок 140х160х6000,Строительные товары двери,Товар,12.31,685.8432,35
134,207,Брусок 40х95х3000,Брусок 40х95х3000,Строительные товары двери,Товар,54.5,409.22106,45
135,210,Бумага для ОфТех  А4,Бумага для ОфТех  А4,Материалы,Материал,21.24,91.1932,84
136,211,Бумага для ОфТех СНЕГУРОЧКА А4,Бумага для ОфТех СНЕГУРОЧКА А4,Материалы,Материал,84.96,92.0,27
137,212,Валик,Валик,Материалы,Материал,28.62,806.23067,72
138,213,Варочная поверхность NEFF,Варочная поверхность NEFF,Строительные товары двери,Товар,73.94,645.47691,3
139,214,Ведро,Ведро,Материалы,Материал,21.8,251.5291,8
140,215,Вентиляционный канал,Вентиляционный канал,Строительные товары двери,Товар,20.48,186.3809,28
141,216,Виброшумоизоляция пенотерм 1.3х20м,Виброшумоизоляция пенотерм 1.3х20м,Строительные товары двери,Товар,31.12,618.19232,16
142,217,Визитки,Визитки,Материалы,Материал,30.1,853.25598,53
143,220,Визитки 1+1,Визитки 1+1,Материалы,Материал,1.37,784.1074,8
144,221,Вилка,Вилка,Материалы,Материал,25.62,147.3766,14
145,222,Вода питьевая 19 л ,Вода питьевая 19 л ,Материалы,Материал,48.95,4895.0,100
146,223,"Вода питьевая 19 л ""Архыз"" негаз.","Вода питьевая 19 л ""Архыз"" негаз.",Материалы,Материал,92.98,549.51046,2
147,224,"Вода питьевая 19 л ""КуБай""","Вода питьевая 19 л ""КуБай""",Материалы,Материал,27.83,262.7291,46
148,225,"Вода питьевая 19 л ""Пилигрим""","Вода питьевая 19 л ""Пилигрим""",Материалы,Материал,3.64,185.673,4
149,226,"Вода питьевая 19 л ""Терийоки""","Вода питьевая 19 л ""Терийоки""",Материалы,Материал,37.82,268.10135,76
150,227,Воронка желоба,Воронка желоба,Строительные товары двери,Товар,27.17,680.18475,6
151,230,Выключатель,Выключатель,Материалы,Материал,70.22,76.5336,72
152,231,Вытяжка,Вытяжка,Строительные товары двери,Товар,13.64,982.13394,48
153,232,Геотекстиль,Геотекстиль,Строительные товары двери,Товар,77.92,137.10675,4
154,233,Гипсокартон,Гипсокартон,Строительные товары двери,Товар,99.9,253.25274,7
155,234,Грунтовка,Грунтовка,Строительные товары двери,Товар,0.84,633.531,72
156,235,Грунтовка универсальная 044 /10 кг / 34506,Грунтовка универсальная 044 /10 кг / 34506,Строительные товары двери,Товар,30.16,588.1773400000001,8
157,236,Грязезащитное покрытие Зиг-Заг,,Коврики влаговпитывающие,Товар,65.64,234.15358999999998,76
158,237,Грязезащитное покрытие Зиг-Заг 4.5 мм,Грязезащитное покрытие Зиг-Заг 4.5 мм,Грязезащитное покрытие Зиг-Заг,Товар,37.89,295.11177000000004,55
159,240,Грязезащитное покрытие Зиг-Заг 5.5 мм,Грязезащитное покрытие Зиг-Заг 5.5 мм,Грязезащитное покрытие Зиг-Заг,Товар,51.15,795.40664,25
160,241,"Грязезащитное покрытие Зиг-Заг, 8 мм","Грязезащитное покрытие Зиг-Заг, 8 мм",Грязезащитное покрытие Зиг-Заг,Товар,77.8,661.51425,8
161,242,Губка-стиратель для маркерных досок магнитная АЕ-1,Губка-стиратель для маркерных досок магнитная АЕ-1,Материалы,Материал,55.71,702.39108,42
162,243,Датчик водонагревателя,Датчик водонагревателя,Строительные товары двери,Товар,65.44,842.551,48
163,244,Дверь ДМ,Дверь ДМ,Строительные товары двери,Товар,58.91,571.33637,61
164,245,Дверь ДМ - 2070*970,Дверь ДМ - 2070*970,Строительные товары двери,Товар,62.69,587.3679900000001,3
165,246,Дверь ДМ -01 - 2070*970,Дверь ДМ -01 - 2070*970,Строительные товары двери,Товар,55.41,319.17675,79
166,247,Дверь ДМ -01 - 2090*980,Дверь ДМ -01 - 2090*980,Строительные товары двери,Товар,47.57,91.4328,87
167,250,Дверь ДМ 1850х670,Дверь ДМ 1850х670,Строительные товары двери,Товар,16.6,4814.0,290
168,251,Дверь ДМ 1870х650,Дверь ДМ 1870х650,Строительные товары двери,Товар,20.22,789.15953,58
169,252,Дверь ДМ 1970х690,Дверь ДМ 1970х690,Строительные товары двери,Товар,37.24,558.20779,92
170,253,Дверь ДМ 2000*1200,Дверь ДМ 2000*1200,Строительные товары двери,Товар,66.87,321.21465,27
171,254,Дверь ДМ 2000*900,Дверь ДМ 2000*900,Строительные товары двери,Товар,77.68,303.23537000000005,4
172,255,Дверь ДМ 2060х880,Дверь ДМ 2060х880,Строительные товары двери,Товар,73.25,24026.0,328
173,256,Дверь ДМ 2080х1300,Дверь ДМ 2080х1300,Строительные товары двери,Товар,37.73,380.14337,4
174,257,Дверь ДМ 2080х970,Дверь ДМ 2080х970,Строительные товары двери,Товар,93.9,14.01314,6
175,260,Дверь ДМ 2120*790,Дверь ДМ 2120*790,Строительные товары двери,Товар,93.93,792.74392,56
176,261,Дверь ДМО,Дверь ДМО,Строительные товары двери,Товар,7.73,179.1383,67
177,262,Дверь ДМО 2070х1090,Дверь ДМО 2070х1090,Строительные товары двери,Товар,90.5,39639.0,438
178,263,Дверь ДМО 2090х1090,Дверь ДМО 2090х1090,Строительные товары двери,Товар,27.6,287.7921,2
179,264,Дверь ДП 2080*970,Дверь ДП 2080*970,Строительные товары двери,Товар,40.6,465.18627000000004,9
180,265,Дверь ДП-01-(ЕI60),Дверь ДП-01-(ЕI60),Строительные товары двери,Товар,44.7,228.10047000000003,96
181,266,Дверь ДП-01-(ЕI60) 1480х710,Дверь ДП-01-(ЕI60) 1480х710,Строительные товары двери,Товар,59.45,732.43517,4
182,267,Дверь ДП-01-(ЕI60) 1490х710,Дверь ДП-01-(ЕI60) 1490х710,Строительные товары двери,Товар,7.98,223.1779,54
183,270,Дверь ДП-01-(ЕI60) 1580х690,Дверь ДП-01-(ЕI60) 1580х690,Строительные товары двери,Товар,96.3,106.10207,8
184,271,Дверь ДП-01-(ЕI60) 1980х1145,Дверь ДП-01-(ЕI60) 1980х1145,Строительные товары двери,Товар,13.22,455.6015,1
185,272,Дверь ДП-01-(ЕI60) 1980х880,Дверь ДП-01-(ЕI60) 1980х880,Строительные товары двери,Товар,57.7,817.4714,9
186,273,Дверь ДП-01-(ЕI60) 2040х950,Дверь ДП-01-(ЕI60) 2040х950,Строительные товары двери,Товар,72.83,875.63726,25
187,274,Дверь ДП-01-(ЕI60) 2060х900,Дверь ДП-01-(ЕI60) 2060х900,Строительные товары двери,Товар,73.21,461.33749000000006,81
188,275,Дверь ДП-01-(ЕI60) 2070х980,Дверь ДП-01-(ЕI60) 2070х980,Строительные товары двери,Товар,93.11,365.33985,15
189,276,Дверь ДП-01-(ЕI60) 2080х780,Дверь ДП-01-(ЕI60) 2080х780,Строительные товары двери,Товар,58.46,148.8652,8
190,277,Дверь ДП-01-(ЕI60) 2080х880,Дверь ДП-01-(ЕI60) 2080х880,Строительные товары двери,Товар,22.12,911.20151,32
191,300,Дверь ДП-01-(ЕI60) 2080х900,Дверь ДП-01-(ЕI60) 2080х900,Строительные товары двери,Товар,97.79,499.48797,21
192,301,Дверь ДП-01-(ЕI60) 2080х970,Дверь ДП-01-(ЕI60) 2080х970,Строительные товары двери,Товар,67.65,56.3788,4
193,302,Дверь ДП-01-(ЕI60) 2090х1090,Дверь ДП-01-(ЕI60) 2090х1090,Строительные товары двери,Товар,72.86,327.23825,22
194,303,Дверь ДП-01-(ЕI60) 2130*970,Дверь ДП-01-(ЕI60) 2130*970,Строительные товары двери,Товар,23.36,546.1275400000001,56
195,304,Дверь ДП-01-(ЕI60) 2150*1020,Дверь ДП-01-(ЕI60) 2150*1020,Строительные товары двери,Товар,32.88,576.18938,88
196,305,Дверь ДП-01-(ЕI60) 2180*870,Дверь ДП-01-(ЕI60) 2180*870,Строительные товары двери,Товар,30.37,932.28304,84
197,306,Дверь ДП-01-(ЕI60) 2320х960,Дверь ДП-01-(ЕI60) 2320х960,Строительные товары двери,Товар,85.18,25554.0,300
198,307,Дверь ДП-01-(ЕI60) 2350х960,Дверь ДП-01-(ЕI60) 2350х960,Строительные товары двери,Товар,68.55,189.12955,95
199,310,Дверь ДП-01-(ЕI60) 3000*1120,Дверь ДП-01-(ЕI60) 3000*1120,Строительные товары двери,Товар,37.49,384.14396,16
200,311,Дверь ДП-01-(ЕIS60) 2070х980,Дверь ДП-01-(ЕIS60) 2070х980,Строительные товары двери,Товар,93.74,513.48088,62
201,312,Дверь ДП-02- 2070х1610,Дверь ДП-02- 2070х1610,Строительные товары двери,Товар,11.39,937.1067199999999,43
202,313,Дверь ДП-02- 2090х2090,Дверь ДП-02- 2090х2090,Строительные товары двери,Товар,29.19,981.28635,39
203,314,Дверь ДП-02-(ЕI60),Дверь ДП-02-(ЕI60),Строительные товары двери,Товар,90.57,814.73723,98
204,315,Дверь ДП-02-(ЕI60) 1490х1490,Дверь ДП-02-(ЕI60) 1490х1490,Строительные товары двери,Товар,87.49,26247.0,300
205,316,Дверь ДП-02-(ЕI60) 1990х1260,Дверь ДП-02-(ЕI60) 1990х1260,Строительные товары двери,Товар,10.47,316.3308,52
206,317,Дверь ДП-02-(ЕI60) 2040х1160,Дверь ДП-02-(ЕI60) 2040х1160,Строительные товары двери,Товар,90.26,60.5415,6
207,320,Дверь ДП-02-(ЕI60) 2040х1170,Дверь ДП-02-(ЕI60) 2040х1170,Строительные товары двери,Товар,77.32,505.39045999999996,6
208,321,Дверь ДП-02-(ЕI60) 2040х1230,Дверь ДП-02-(ЕI60) 2040х1230,Строительные товары двери,Товар,54.96,380.20884,8
209,322,Дверь ДП-02-(ЕI60) 2050х1260,Дверь ДП-02-(ЕI60) 2050х1260,Строительные товары двери,Товар,68.18,172.11726000000002,96
210,323,Дверь ДП-02-(ЕI60) 2050х1330,Дверь ДП-02-(ЕI60) 2050х1330,Строительные товары двери,Товар,34.37,633.2175599999999,21
211,324,Дверь ДП-02-(ЕI60) 2050х1460,Дверь ДП-02-(ЕI60) 2050х1460,Строительные товары двери,Товар,23.35,213.4973,55
212,325,Дверь ДП-02-(ЕI60) 2060х1320,Дверь ДП-02-(ЕI60) 2060х1320,Строительные товары двери,Товар,94.99,921.87485,79
213,326,Дверь ДП-02-(ЕI60) 2070х1280,Дверь ДП-02-(ЕI60) 2070х1280,Строительные товары двери,Товар,95.71,589.56373,19
214,327,Дверь ДП-02-(ЕI60) 2070х1300,Дверь ДП-02-(ЕI60) 2070х1300,Строительные товары двери,Товар,36.83,773.2846900000001,59
215,330,Дверь ДП-02-(ЕI60) 2070х1610,Дверь ДП-02-(ЕI60) 2070х1610,Строительные товары двери,Товар,26.0,2002.0,77
216,331,Дверь ДП-02-(ЕI60) 2080х1170,Дверь ДП-02-(ЕI60) 2080х1170,Строительные товары двери,Товар,84.7,64372.0,760
217,332,Дверь ДП-02-(ЕI60) 2080х1260,Дверь ДП-02-(ЕI60) 2080х1260,Строительные товары двери,Товар,17.62,615.10836,3
218,333,Дверь ДП-02-(ЕI60) 2080х1270,Дверь ДП-02-(ЕI60) 2080х1270,Строительные товары двери,Товар,54.79,444.24325999999996,76
219,334,Дверь ДП-02-(ЕI60) 2080х1370,Дверь ДП-02-(ЕI60) 2080х1370,Строительные товары двери,Товар,68.5,31510.0,460
220,335,Дверь ДП-02-(ЕI60) 2080х1440,Дверь ДП-02-(ЕI60) 2080х1440,Строительные товары двери,Товар,79.94,533.42608,2
221,336,Дверь ДП-02-(ЕI60) 2080х1450,Дверь ДП-02-(ЕI60) 2080х1450,Строительные товары двери,Товар,86.13,531.45735,3
222,337,Дверь ДП-02-(ЕI60) 2090х1260,Дверь ДП-02-(ЕI60) 2090х1260,Строительные товары двери,Товар,78.61,348.27356000000003,28
223,340,Дверь ДП-02-(ЕI60) 2090х1270,Дверь ДП-02-(ЕI60) 2090х1270,Строительные товары двери,Товар,70.68,659.46578,12
224,341,Дверь ДП-02-(ЕI60) 2100х1200,Дверь ДП-02-(ЕI60) 2100х1200,Строительные товары двери,Товар,7.41,761.5639,1
225,342,Дверь ДП-02-(ЕI60) 2100х1230,Дверь ДП-02-(ЕI60) 2100х1230,Строительные товары двери,Товар,86.16,722.62207,52
226,343,Дверь ДП-02-(ЕI60) 2100х1270,Дверь ДП-02-(ЕI60) 2100х1270,Строительные товары двери,Товар,48.41,59.2856,19
227,344,Дверь ДП-02-(ЕI60) 2100х1460,Дверь ДП-02-(ЕI60) 2100х1460,Строительные товары двери,Товар,71.49,523.3738900000001,27
228,345,Дверь ДП-02-(ЕI60) 2100х1510,Дверь ДП-02-(ЕI60) 2100х1510,Строительные товары двери,Товар,79.19,340.26923999999997,6
229,346,Дверь ДП-02-(ЕI60) 2110х1490,Дверь ДП-02-(ЕI60) 2110х1490,Строительные товары двери,Товар,19.4,928.17669,12
230,347,Дверь ДП-02-(ЕI60) 2130х1140,Дверь ДП-02-(ЕI60) 2130х1140,Строительные товары двери,Товар,7.84,319.25,96
231,350,Дверь ДП-02-(ЕI60) 2150х1820,Дверь ДП-02-(ЕI60) 2150х1820,Строительные товары двери,Товар,53.21,579.30808,59
232,351,Дверь ДП-02-(ЕI60) 2170х2170,Дверь ДП-02-(ЕI60) 2170х2170,Строительные товары двери,Товар,86.91,197.17121,27
