,Number_PP,Name,Full_name,Code,Unit_of_reconciliation,Additional_characteristics,Owners_name,Kind,Article,Weight,Accounting_characteristics,Storage_unit,VAT_rate,Service,Nomenclature_group,Sharto,Main_supplier,Main_supplier_object,Comment,Predefined,Price,Qty_stock,Remaining_amount,Currency
19,24,(о) Ламинат Первая Сибирская 10мм 32класс,(о) Ламинат Первая Сибирская 10мм 32класс,2537,м2,Нет,Ламинат Тайга,Товар,2537,Нет,Да,м2,0.2,Нет,Товары,340462586,,Нет,,Нет,5.3,536.2696,8,Руб
20,25,(о) Ламинат Первая Уральская 8мм 32класс,(о) Ламинат Первая Уральская 8мм 32класс,2538,м2,Нет,Ламинат Тайга,Товар,2538,Нет,Да,м2,0.2,Нет,Товары,2176754065,,Нет,,Нет,90.83,93.8447,19,Руб
21,26,(о) Линолеум Таркет (свотч),(о) Линолеум Таркет (свотч),2378,шт,Нет,ТАРКЕТ,Товар,2378,Нет,Да,шт,0.2,Нет,Товары,2176754065,,Нет,,Нет,63.9,965.60881,85,Руб
22,27,(о) Наклейки на образцы IDEAL,(о) Наклейки на образцы IDEAL,2128,шт,Нет,Ламинат IDEAL,Товар,2128,Нет,Да,шт,0.2,Нет,Товары,441488427,,Нет,,Нет,44.3,190.8365,7,Руб
23,30,(о) Паркетная доска Дрезден (снят),(о) Паркетная доска Дрезден (снят),2077,м2,Нет,Дрезден (снят),Товар,2077,Нет,Да,м2,0.2,Нет,Товары,441488427,ОПУС ТД ООО,Нет,,Нет,92.8,538.49539,4,Руб
24,31,(о) Стык Аберхоф,(о) Стык Аберхоф,2058,шт,Нет,Аксессуары ПВХ для плинтуса,Товар,2058,Нет,Да,шт,0.2,Нет,Товары,441488427,ОПУС ТД ООО,Нет,,Нет,3.41,430.1466,3,Руб
25,32,(о)Искусственная трава (упаковка),(о)Искусственная трава (упаковка),2331,шт,Нет,Искусственная трава,Товар,2331,Нет,Да,шт,0.2,Нет,Товары,327325482,ОПУС ТД ООО,Нет,,Нет,95.32,517.4928,44,Руб
26,33,(о)Ламинат ATLAS 8мм 33класс,(о)Ламинат ATLAS 8мм 33класс,2318,м2,Нет,Ламинат ATLAS 8мм 33кл,Товар,2318,Нет,Да,м2,0.2,Нет,Товары,327325482,,Нет,,Нет,3.96,796.3152,16,Руб
27,34,(о)Ламинат Cruise,(о)Ламинат Cruise 10мм 33класс,2275,м2,Нет,Cruise,Товар,2275,Нет,Да,м2,0.2,Нет,Товары,2106137900,,Нет,,Нет,67.1,791.53004,91,Руб
28,35,(о)Ламинат Cruise (свотч),(о)Ламинат Cruise 10мм 33класс (свотч),2324,шт,Нет,Cruise,Товар,2324,Нет,Нет,шт,0.2,Нет,Товары,2106137900,,Нет,,Нет,1.57,910.1428,7,Руб
29,36,(о)Ламинат Derby Arteon 8мм 33 класс,(о)Ламинат Derby Arteon 8мм 33 класс,2483,м2,Нет,Derby Arteon,Товар,2483,Нет,Да,м2,0.2,Нет,Товары,2106137900,ГРУППА ВОСТОК ООО,Нет,,Нет,1.47,256.376,32,Руб
30,37,(о)Ламинат Form 8мм 33 класс,(о)Ламинат Form 8мм 33 класс,2224,м2,Нет,Form 8 мм 33 класс,Товар,2224,Нет,Да,м2,0.2,Нет,Товары,1673050969,,Нет,,Нет,88.17,424.37384,8,Руб
31,40,(о)Ламинат Iceberg,(о)Ламинат Iceberg  34класс,2267,м2,Нет,Iceberg,Товар,2267,Нет,Да,м2,0.2,Нет,Товары,4102529626,,Нет,,Нет,89.45,669.59842,5,Руб
32,41,(о)Ламинат Iceberg (свотч),(о)Ламинат Iceberg 8.4мм 34класс (свотч),2325,шт,Нет,Iceberg,Товар,2325,Нет,Нет,шт,0.2,Нет,Товары,4102529626,,Нет,,Нет,46.86,735.34442,1,Руб
33,42,(о)Ламинат Legend,(о)Ламинат Legend,1900,м2,Нет,Legend 33 снимается,Товар,1900,Нет,Да,м2,0.2,Нет,Товары,4102529626,ОПУС ТД ООО,Нет,,Нет,44.79,210.9405,9,Руб
34,43,(о)Ламинат Legend NEW,(о)Ламинат Legend NEW,2084,м2,Нет,Legend 33 снимается,Товар,2084,Нет,Да,м2,0.2,Нет,Товары,26633845,ОПУС ТД ООО,Нет,,Нет,55.55,293.16276,15,Руб
35,44,(о)Ламинат Quality flooring 5мм 32 класс ,(о)Ламинат Quality flooring 5мм 32 класс ,2534,м2,Нет,SPC,Товар,2534,Нет,Да,м2,0.2,Нет,Товары,26633845,,Нет,,Нет,95.5,367.34883,35,Руб
36,45,(о)Ламинат Victory,(о)Ламинат Victory,1833,м2,Нет,Victory,Товар,1833,Нет,Да,м2,0.2,Нет,Товары,751033404,ОПУС ТД ООО,Нет,,Нет,79.54,496.39451,84,Руб
37,46,(о)Ламинат Victory (свотч),(о)Ламинат Victory (свотч),2327,шт,Нет,Victory,Товар,2327,Нет,Нет,шт,0.2,Нет,Товары,751033404,ОПУС ТД ООО,Нет,,Нет,2.74,304.832,96,Руб
38,47,(о)Ламинат Кронон Модерн 8мм 33класс,(о)Ламинат Кронон Модерн 8мм 33класс,2368,м2,Нет,Кронон Модерн 8мм 33класс,Товар,2368,Нет,Да,м2,0.2,Нет,Товары,751033404,,Нет,,Нет,10.3,112.1153,6,Руб
39,50,(о)Ламинат Франция 7мм 32 класс,(о)Ламинат Франция 7мм 32 класс,2287,м2,Нет,Ламинат Соммер,Товар,2287,Нет,Да,м2,0.2,Нет,Товары,878865775,ТАРКЕТТ РУС АО,Нет,,Нет,96.4,171.16484,4,Руб
40,51,(о)Ламинт Storm,(о)Ламинт Storm,1822,м2,Нет,Storm,Товар,1822,Нет,Да,м2,0.2,Нет,Товары,878865775,ОПУС ТД ООО,Нет,,Нет,1.49,394.587,6,Руб
41,52,(о)Ламинт Storm V4 (свотч),(о)Ламинт Storm V4 (свотч),2326,шт,Нет,Storm,Товар,2326,Нет,Нет,шт,0.2,Нет,Товары,878865775,ОПУС ТД ООО,Нет,,Нет,41.82,359.15013,38,Руб
42,53,(о)Паркетная доска Стокгольм NEW,(о)Паркетная доска Стокгольм NEW,2043,м2,Нет,Стокгольм,Товар,2043,Нет,Да,м2,0.2,Нет,Товары,3172452831,ОПУС ТД ООО,Нет,,Нет,65.75,8153.0,124,Руб
43,54,(о)Паркетная доска Стокгольм снят,(о)Паркетная доска Стокгольм снят,1888,м2,Нет,Стокгольм,Товар,1888,Нет,Да,м2,0.2,Нет,Товары,3172452831,ОПУС ТД ООО,Нет,,Нет,25.1,22590.0,900,Руб
44,55,(о)Паркетная доска Суоми,(о)Паркетная доска Суоми,1838,м2,Нет,Суоми,Товар,1838,Нет,Да,м2,0.2,Нет,Товары,3838786842,ОПУС ТД ООО,Нет,,Нет,51.86,81.42,66,Руб
45,56,(о)Пробковый пол Basic,(о)Пробковый пол Basic,1839,м2,Нет,Aberhof,Товар,1839,Нет,Да,м2,0.2,Нет,Товары,3838786842,ОПУС ТД ООО,Нет,разные ед измерения,Нет,59.96,479.2872,84,Руб
46,57,(о)Пробковый пол Exclusive,(о)Пробковый пол Exclusive,1944,шт,Нет,Aberhof,Товар,1944,Нет,Да,шт,0.2,Нет,Товары,3838786842,ОПУС ТД ООО,Нет,разыне ед измерения,Нет,21.57,165.3559,5,Руб
47,60,Aberhof,,199,,Нет,Пробковый пол,Товар,199,Нет,Нет,,,Нет,,739571748,,Нет,,Нет,42.68,122.5206,96,Руб
48,61,AmberWood,,1780,,Нет,Массивная доска,Товар,1780,Нет,Нет,,,Нет,,739571748,,Нет,,Нет,84.31,115.9695,65,Руб
49,62,Cranberry 8мм 33кл фаска,,2126,,Нет,Ламинат IDEAL,Товар,2126,Нет,Нет,,,Нет,,739571748,,Нет,,Нет,35.3,377.13308,1,Руб
50,63,Cruise,,2258,,Нет,Ламинат Aberhof,Товар,2258,Нет,Нет,,,Нет,,2413550704,,Нет,,Нет,6.31,843.5319,33,Руб
51,64,Derby Arteon,,2477,,Нет,Ламинат Мостовдрев,Товар,2477,Нет,Нет,,,Нет,,2413550704,,Нет,,Нет,87.41,507.44316,87,Руб
52,65,DUBART,,1873,,Нет,Ламинат Синтерос,Товар,1873,Нет,Нет,,,Нет,,2957954029,,Нет,,Нет,65.47,335.21932,45,Руб
53,66,Emerald снят с производства,,1866,,Нет,Ламинат Aberhof,Товар,1866,Нет,Нет,,,Нет,,2957954029,,Нет,,Нет,70.84,287.20331,8,Руб
54,67,EUROHOME,,2494,,Нет,Ламинат Кроношпан,Товар,2494,Нет,Нет,,,Нет,,2957954029,,Нет,,Нет,91.0,29484.0,324,Руб
55,70,Forbo,,911,,Нет,Линолеум,Товар,911,Нет,Нет,,,Нет,,297368353,,Нет,,Нет,39.2,959.37592,8,Руб
56,71,Form 8 мм 33 класс,,2221,,Нет,Ламинат IDEAL,Товар,2221,Нет,Нет,,,Нет,,297368353,,Нет,,Нет,12.27,812.9963,24,Руб
57,72,Iceberg,,2265,,Нет,Ламинат Aberhof,Товар,2265,Нет,Нет,,,Нет,,297368353,,Нет,,Нет,9.27,875.8111,25,Руб
58,73,IDEAL Glory,,2284,,Нет,Линолеум,Товар,2284,Нет,Нет,,,Нет,,1573976245,,Нет,,Нет,51.4,884.45119,36,Руб
59,74,Kompass снят с производства,,1784,,Нет,Ламинат Aberhof,Товар,1784,Нет,Нет,,,Нет,,1573976245,,Нет,,Нет,95.52,179.17098,8,Руб
60,75,Legend 33 снимается,,1898,,Нет,Ламинат Aberhof,Товар,1898,Нет,Нет,,,Нет,,1573976245,,Нет,,Нет,50.2,156.7831,2,Руб
61,76,Look 7мм 32 класс ,,2219,,Нет,Ламинат IDEAL,Товар,2219,Нет,Нет,,,Нет,,1573976245,,Нет,,Нет,71.27,59.0,17,Руб
62,77,Polyflor,,1881,,Нет,Линолеум,Товар,1881,Нет,Нет,,,Нет,,886941357,,Нет,,Нет,89.14,491.43767,74,Руб
63,100,Polyflor,Polyflor,1882,м2,Нет,Polyflor,Товар,1882,Нет,Да,м2,0.2,Нет,Товары,886941357,Полифлор Контракт ООО,Нет,,Нет,72.39,927.67105,53,Руб
64,101,Polystyl 2 сорт,,11,,Нет,Линолеум,Товар,11,Нет,Нет,,,Нет,,2884685496,,Да,,Нет,47.2,474.22372,8,Руб
65,102,Polystyl Contract,,6,,Нет,Линолеум,Товар,6,Нет,Нет,,,Нет,,2884685496,,Да,,Нет,88.76,743.65948,68,Руб
66,103,Polystyl METEOR,,1963,,Нет,Линолеум,Товар,1963,Нет,Нет,,,Нет,,2884685496,,Да,,Нет,44.71,276.12339,96,Руб
67,104,Polystyl Orion,,2050,,Нет,Линолеум,Товар,2050,Нет,Нет,,,Нет,,2884685496,,Да,,Нет,91.27,383.34956,41,Руб
68,105,Polystyl POLARIS,,1871,,Нет,Линолеум,Товар,1871,Нет,Нет,,,Нет,,2618810026,,Да,,Нет,49.89,280.13969,2,Руб
69,106,Polystyl SIGMA,,2633,,Нет,Линолеум,Товар,2633,Нет,Нет,,,Нет,,2618810026,,Да,,Нет,72.39,578.41841,42,Руб
70,107,Polystyl SPACE,,1956,,Нет,Линолеум,Товар,1956,Нет,Нет,,,Нет,,2618810026,,Да,,Нет,99.76,793.79109,68,Руб
71,110,Polystyl TAIFUN,,7,,Нет,Линолеум,Товар,7,Нет,Нет,,,Нет,,428931937,,Да,,Нет,95.73,968.92666,64,Руб
72,111,Polystyl TITAN,,9,,Нет,Линолеум,Товар,9,Нет,Нет,,,Нет,,428931937,,Да,,Нет,97.24,302.29366,48,Руб
73,112,Polystyl TORNADO,,2635,,Нет,Линолеум,Товар,2635,Нет,Нет,,,Нет,,428931937,,Да,,Нет,23.1,315.7248,15,Руб
74,113,Polystyl VEGA,,10,,Нет,Линолеум,Товар,10,Нет,Нет,,,Нет,,428931937,,Да,,Нет,49.4,181.8941,4,Руб
75,114,PRAKTIKA,,2548,,Нет,Линолеум,Товар,2548,Нет,Нет,,,Нет,,3112316844,,Да,,Нет,38.74,121.4687,54,Руб
76,115,Raspberry 8мм 33кл фаска,,2129,,Нет,Ламинат IDEAL,Товар,2129,Нет,Нет,,,Нет,,3112316844,,Нет,,Нет,27.63,282.7791,66,Руб
77,116,Regatta снят с производства 2016,,2007,,Нет,Ламинат Aberhof,Товар,2007,Нет,Нет,,,Нет,,3627841218,,Нет,,Нет,72.39,57.4126,23,Руб
78,117,RIVIERA снят с производства,,1940,,Нет,Ламинат Aberhof,Товар,1940,Нет,Нет,,,Нет,,3627841218,,Нет,,Нет,92.24,648.59771,52,Руб
79,120,Silver снят с производства,,197,,Нет,Ламинат Aberhof,Товар,197,Нет,Нет,,,Нет,,3627841218,,Нет,,Нет,14.62,830.12134,6,Руб
80,121,SM 70  0.8mm D300*15кг,SM 70  0.8mm D300*15кг,2439,шт,Нет,Склад Максимова Т.,Товар,2439,Нет,Нет,шт,Без НДС,Нет,Товары,3739059808,,Нет,,Нет,48.96,571.27956,16,Руб
81,122,SM 70 1.0mm D300*15кг,SM 70 1.0mm D300*15кг,2441,шт,Нет,Склад Максимова Т.,Товар,2441,Нет,Нет,шт,Без НДС,Нет,Товары,3739059808,,Нет,,Нет,64.43,424.27318,32,Руб
82,123,SM 70 1.2mm D300*15кг,SM 70 1.2mm D300*15кг,2443,шт,Нет,Склад Максимова Т.,Товар,2443,Нет,Нет,шт,Без НДС,Нет,Товары,3739059808,,Нет,,Нет,68.29,624.42612,96,Руб
83,124,SM 70 диам. 0.9мм Ball рас 300кг,SM 70 диам. 0.9мм Ball рас 300кг,2442,шт,Нет,Склад Максимова Т.,Товар,2442,Нет,Нет,шт,Без НДС,Нет,Товары,2017745284,,Нет,,Нет,74.8,223.16519,84,Руб
84,125,SM 70 диам. 1.2мм Ball pac 300кг,SM 70 диам. 1.2мм Ball pac 300кг,2444,шт,Нет,Склад Максимова Т.,Товар,2444,Нет,Нет,шт,Без НДС,Нет,Товары,2017745284,,Нет,,Нет,11.84,681.8063,4,Руб
85,126,SM 70S диам. 0.9мм Ball pac 300кг,SM 70S диам. 0.9мм Ball pac 300кг,2492,шт,Нет,Склад Максимова Т.,Товар,2492,Нет,Нет,шт,Без НДС,Нет,Товары,2017745284,,Нет,,Нет,96.48,451.43512,48,Руб
86,127,SM 70S диам. 1.0мм Ball pac 300кг,SM 70S диам. 1.0мм Ball pac 300кг,2583,шт,Нет,Склад Максимова Т.,Товар,2583,Нет,Нет,шт,Без НДС,Нет,Товары,2628758096,,Нет,,Нет,95.51,554.52912,54,Руб
87,130,SM 70S диам. 1.2мм Ball pac 300кг,SM 70S диам. 1.2мм Ball pac 300кг,2465,шт,Нет,Склад Максимова Т.,Товар,2465,Нет,Нет,шт,Без НДС,Нет,Товары,2628758096,,Нет,,Нет,12.13,155.188,15,Руб
88,131,SPC,,2530,,Нет,Ламинат Кроношпан,Товар,2530,Нет,Нет,,,Нет,,2628758096,,Нет,,Нет,74.51,788.58713,88,Руб
89,132,STATUS,,2639,,Нет,Линолеум,Товар,2639,Нет,Нет,,,Нет,,2628758096,,Нет,,Нет,92.31,978.90279,18,Руб
90,133,STIMUL,,2306,,Нет,Линолеум,Товар,2306,Нет,Нет,,,Нет,,283165906,,Нет,,Нет,69.97,670.46879,9,Руб
91,134,Storm,,1117,,Нет,Ламинат Aberhof,Товар,1117,Нет,Нет,,,Нет,,283165906,,Нет,,Нет,60.35,798.48159,3,Руб
92,135,Superior,,2030,,Нет,Ламинат Kronostar,Товар,2030,Нет,Нет,,,Нет,,283165906,,Нет,,Нет,52.66,103.5423,98,Руб
93,136,Symbio,,1922,,Нет,Ламинат Kronostar,Товар,1922,Нет,Нет,,,Нет,,2114672235,,Нет,,Нет,62.4,27768.0,445,Руб
94,137,Synchrotec,,1923,,Нет,Ламинат Kronostar,Товар,1923,Нет,Нет,,,Нет,,2114672235,,Нет,,Нет,28.15,687.19339,5,Руб
95,140,Trend,,1834,,Нет,Линолеум,Товар,1834,Нет,Нет,,,Нет,,2114672235,,Нет,,Нет,31.4,193.606,2,Руб
96,141,Victory,,198,,Нет,Ламинат Aberhof,Товар,198,Нет,Нет,,,Нет,,1418362818,,Нет,,Нет,17.4,28.487,2,Руб
97,142,WindRose снят с производства,,1785,,Нет,Ламинат Aberhof,Товар,1785,Нет,Нет,,,Нет,,1418362818,,Нет,заполненый,Нет,56.26,372.20928,72,Руб
98,143,Абонементное обслуживание (техническая поддержка),Абонементное обслуживание (техническая поддержка),1266,шт,Нет,Услуги,Услуга,1266,Нет,Нет,шт,0.2,Да,Товары,1418362818,,Нет,,Нет,26.2,3275.0,125,Руб
99,144,Адаптер wifi,Адаптер wifi,2312,шт,Нет,Материалы,Материал,2312,Нет,Нет,шт,0.2,Нет,Товары,4117362813,,Нет,,Нет,30.61,973.29783,53,Руб
100,145,Аккумулятор,Аккумулятор,2120,шт,Нет,Материалы,Материал,2120,Нет,Нет,шт,0.2,Нет,Товары,4117362813,,Нет,,Нет,49.39,95.0,5,Руб
101,146,Аксессуары ELSI,Аксессуары ELSI,1958,шт,Нет,Аксессуары ПВХ для плинтуса,Товар,1958,Нет,Да,шт,0.2,Нет,Товары,3009809476,,Нет,,Нет,15.13,217.3283,21,Руб
102,147,Аксессуары ПВХ Аберхоф,Аксессуары ПВХ Аберхоф,1925,уп,Нет,Аксессуары ПВХ для плинтуса,Товар,1925,Нет,Да,уп,0.2,Нет,Товары,3009809476,ОПУС ТД ООО,Нет,,Нет,24.58,360.8848,8,Руб
103,150,Аксессуары ПВХ для плинтуса,,1879,,Нет,,Товар,1879,Нет,Нет,,,Нет,,3029577466,,Нет,,Нет,32.52,752.24455,4,Руб
104,151,Аксессуары ПВХ Таркетт,Аксессуары ПВХ Таркетт,1880,уп,Нет,Аксессуары ПВХ для плинтуса,Товар,1880,Нет,Да,уп,0.2,Нет,Товары,3029577466,ТАРКЕТТ РУС АО,Нет,,Нет,44.93,377.16938,61,Руб
105,152,Альфа,,2085,,Нет,Коврики влаговпитывающие,Товар,2085,Нет,Нет,,,Нет,,3029577466,,Нет,,Нет,1.87,216.403,92,Руб
106,153,Антисептик,Антисептик,2622,шт,Нет,Материалы,Материал,2622,Нет,Нет,шт,0.2,Нет,Товары,963843096,,Нет,,Нет,35.91,674.24203,34,Руб
107,154,Антистеплер,Антистеплер,2388,шт,Нет,Материалы,Материал,2388,Нет,Нет,шт,0.2,Нет,Товары,963843096,,Нет,,Нет,42.6,48.0,8,Руб
108,155,Аренда офиса,Аренда офиса,1260,шт,Нет,Услуги,Услуга,1260,Нет,Нет,шт,0.2,Да,Товары,963843096,ЛЕНЭЛЕКТРОНМАШ АО НТК,Нет,,Нет,27.18,667.18129,6,Руб
109,156,Аренда склада,Аренда склада,2464,шт,Нет,Услуги,Услуга,2464,Нет,Нет,шт,0.2,Да,Товары,1169233300,,Нет,,Нет,53.4,954.50943,6,Руб
110,157,Арматура 10 А3,Арматура 10 А3,2068,т,Нет,Строительные товары двери,Товар,2068,Нет,Нет,т,0.2,Нет,Товары,1169233300,,Нет,,Нет,4.12,710.2925,2,Руб
111,160,Арматура 12 А3,Арматура 12 А3,2067,т,Нет,Строительные товары двери,Товар,2067,Нет,Нет,т,0.2,Нет,Товары,1169233300,,Нет,,Нет,73.46,214.1572,44,Руб
112,161,Арматура 14 А3,Арматура 14 А3,2066,т,Нет,Строительные товары двери,Товар,2066,Нет,Нет,т,0.2,Нет,Товары,3986324023,,Нет,,Нет,57.59,836.48145,24,Руб
113,162,Арматура 8 А3,Арматура 8 А3,2069,т,Нет,Строительные товары двери,Товар,2069,Нет,Нет,т,0.2,Нет,Товары,3986324023,,Нет,,Нет,74.4,787.58552,8,Руб
114,163,АРХИВ  Линолеум Дискавери    ,АРХИВ  Линолеум Дискавери    ,2061,м2,Нет,ТАРКЕТ,Товар,2061,Нет,Да,м2,0.2,Нет,Товары,1966043797,ОЛИМП И К АО,Нет,,Нет,29.26,276.8075,76,Руб
115,164,Батарея для ИБС,Батарея для ИБС,2604,шт,Нет,Материалы,Материал,2604,Нет,Нет,шт,0.2,Нет,Товары,1966043797,,Нет,,Нет,93.4,183.17092,2,Руб
116,165,Белье мужское нательное х/б (с начесом),Белье мужское нательное х/б (с начесом),2033,шт,Нет,Материалы,Материал,2033,Нет,Нет,шт,0.2,Нет,Товары,1966043797,,Нет,,Нет,6.24,315.1965,6,Руб
117,166,Бетоконтакт,Бетоконтакт,2252,шт,Нет,Строительные товары двери,Товар,2252,Нет,Нет,шт,0.2,Нет,Товары,933329643,,Нет,,Нет,8.39,547.4589,33,Руб
118,167,Бетон,Бетон,2079,м3,Нет,Строительные товары двери,Товар,2079,Нет,Нет,куб. м,0.2,Нет,Товары,933329643,,Нет,,Нет,62.57,866.54185,62,Руб
119,170,Блок бумаги для флипчартов белый 65*98 20 лист. Комус 80гр,Блок бумаги для флипчартов белый 65*98 20 лист. Комус 80гр,2025,уп,Нет,Материалы,Материал,2025,Нет,Нет,уп,0.2,Нет,Товары,4055017846,,Нет,,Нет,75.23,544.40925,12,Руб
120,171,Блок бумаги для флипчартов клетка 65*98 20 лист. Комус 80гр,Блок бумаги для флипчартов клетка 65*98 20 лист. Комус 80гр,2026,уп,Нет,Материалы,Материал,2026,Нет,Нет,уп,0.2,Нет,Товары,4055017846,,Нет,,Нет,96.38,370.3566,6,Руб
121,172,Блок питания,Блок питания,2119,шт,Нет,Материалы,Материал,2119,Нет,Нет,шт,0.2,Нет,Товары,4055017846,,Нет,,Нет,25.41,968.24596,88,Руб
122,173,Блок фотобарабана ,Блок фотобарабана ,2236,шт,Нет,Материалы,Материал,2236,Нет,Нет,шт,0.2,Нет,Товары,4055017846,,Нет,,Нет,12.24,307.3757,68,Руб
123,174,Блоки питания 600W-780W,Блоки питания 600W-780W,1903,шт,Нет,Материалы,Материал,1903,Нет,Нет,шт,0.2,Нет,Товары,4055017846,,Нет,,Нет,32.46,872.28305,12,Руб
124,175,Блок-кубик запасной 9х9х9 белый блок,Блок-кубик запасной 9х9х9 белый блок,1269,шт,Нет,Материалы,Материал,1269,Нет,Нет,шт,0.2,Нет,Товары,490395011,,Нет,,Нет,67.8,777.5268,6,Руб
125,176,Блок-кубик КОМУС запасной 9х9х9 цветной блок,Блок-кубик КОМУС запасной 9х9х9 цветной блок,1536,шт,Нет,Материалы,Материал,1536,Нет,Нет,шт,0.2,Нет,Товары,3411427813,,Нет,,Нет,16.4,382.6127,28,Руб
126,177,Блок-кубик КОМУС с клеевкраем Куб 38х51 цветн,Блок-кубик КОМУС с клеевкраем Куб 38х51 цветн,1985,шт,Нет,Материалы,Материал,1985,Нет,Нет,шт,0.2,Нет,Товары,3411427813,,Нет,,Нет,72.25,0.0,0,Руб
